beat_index,t_s,t_dt,r_index,RR_prev_ms,RR_next_ms,P_onset_idx,QRS_onset_idx,QRS_offset_idx,QRS_ms,PR_ms,T_peak_idx,T_end_idx,RT_peak_ms,RT_end_ms,QT_ms,QTc_Bazett_ms,QTc_Fridericia_ms,Tpeak_Tend_ms
0,0.6791666666666667,2019-06-06 06:24:30.679167,163,,775.0,77.0,136,172,150.0,245.83333333333331,231.0,,283.3333333333333,,,,,
1,1.4541666666666666,2019-06-06 06:24:31.454167,349,775.0,770.8333333333334,305.0,323,376,220.83333333333331,75.0,418.0,474.0,287.5,520.8333333333334,629.1666666666666,714.6853080942232,684.9598857952798,233.33333333333334
2,2.225,2019-06-06 06:24:32.225000,534,770.8333333333334,779.1666666666666,449.0,508,561,220.83333333333331,245.83333333333331,601.0,,279.1666666666667,,,,,
3,3.004166666666667,2019-06-06 06:24:33.004167,721,779.1666666666666,787.5,635.0,694,730,150.0,245.83333333333331,788.0,,279.1666666666667,,,,,
4,3.7916666666666665,2019-06-06 06:24:33.791667,910,787.5,787.5,824.0,883,919,150.0,245.83333333333331,976.0,,275.0,,,,,
5,4.579166666666667,2019-06-06 06:24:34.579167,1099,787.5,787.5,1012.0,1072,1108,150.0,250.0,1165.0,,275.0,,,,,
6,5.366666666666666,2019-06-06 06:24:35.366667,1288,787.5,783.3333333333334,1201.0,1261,1297,150.0,250.0,1355.0,,279.1666666666667,,,,,
7,6.15,2019-06-06 06:24:36.150000,1476,783.3333333333334,783.3333333333334,1389.0,1449,1485,150.0,250.0,1544.0,,283.3333333333333,,,,,
8,6.933333333333334,2019-06-06 06:24:36.933333,1664,783.3333333333334,779.1666666666666,1577.0,1637,1673,150.0,250.0,1732.0,,283.3333333333333,,,,,
9,7.7125,2019-06-06 06:24:37.712500,1851,779.1666666666666,775.0,1764.0,1824,1860,150.0,250.0,1918.0,,279.1666666666667,,,,,
10,8.4875,2019-06-06 06:24:38.487500,2037,775.0,775.0,1950.0,2010,2046,150.0,250.0,2104.0,,279.1666666666667,,,,,
11,9.2625,2019-06-06 06:24:39.262500,2223,775.0,766.6666666666667,2136.0,2196,2232,150.0,250.0,2291.0,,283.3333333333333,,,,,
12,10.029166666666667,2019-06-06 06:24:40.029167,2407,766.6666666666667,758.3333333333333,2320.0,2380,2416,150.0,250.0,2474.0,,279.1666666666667,,,,,
13,10.7875,2019-06-06 06:24:40.787500,2589,758.3333333333333,758.3333333333333,2502.0,2562,2598,150.0,250.0,2657.0,,283.3333333333333,,,,,
14,11.545833333333333,2019-06-06 06:24:41.545833,2771,758.3333333333333,766.6666666666667,2685.0,2744,2780,150.0,245.83333333333331,2838.0,,279.1666666666667,,,,,
15,12.3125,2019-06-06 06:24:42.312500,2955,766.6666666666667,766.6666666666667,2911.0,2929,2981,216.66666666666669,75.0,3021.0,,275.0,,,,,
16,13.079166666666667,2019-06-06 06:24:43.079167,3139,766.6666666666667,770.8333333333334,3053.0,3112,3166,225.0,245.83333333333331,3206.0,,279.1666666666667,,,,,
17,13.85,2019-06-06 06:24:43.850000,3324,770.8333333333334,770.8333333333334,3264.0,3297,3333,150.0,137.5,3393.0,,287.5,,,,,
18,14.620833333333334,2019-06-06 06:24:44.620833,3509,770.8333333333334,762.5,3424.0,3483,3536,220.83333333333331,245.83333333333331,3577.0,,283.3333333333333,,,,,
19,15.383333333333333,2019-06-06 06:24:45.383333,3692,762.5,775.0,3606.0,3665,3701,150.0,245.83333333333331,3760.0,,283.3333333333333,,,,,
20,16.158333333333335,2019-06-06 06:24:46.158333,3878,775.0,779.1666666666666,3792.0,3851,3905,225.0,245.83333333333331,3947.0,,287.5,,,,,
21,16.9375,2019-06-06 06:24:46.937500,4065,779.1666666666666,725.0,4021.0,4038,4092,225.0,70.83333333333333,4121.0,,233.33333333333334,,,,,
22,17.6625,2019-06-06 06:24:47.662500,4239,725.0,766.6666666666667,4154.0,4213,4247,141.66666666666666,245.83333333333331,4308.0,,287.5,,,,,
23,18.429166666666667,2019-06-06 06:24:48.429167,4423,766.6666666666667,775.0,4337.0,4396,4432,150.0,245.83333333333331,4491.0,,283.3333333333333,,,,,
24,19.204166666666666,2019-06-06 06:24:49.204167,4609,775.0,779.1666666666666,4523.0,4582,4636,225.0,245.83333333333331,4677.0,,283.3333333333333,,,,,
25,19.983333333333334,2019-06-06 06:24:49.983333,4796,779.1666666666666,779.1666666666666,4710.0,4769,4823,225.0,245.83333333333331,4865.0,,287.5,,,,,
26,20.7625,2019-06-06 06:24:50.762500,4983,779.1666666666666,770.8333333333334,4898.0,4957,5010,220.83333333333331,245.83333333333331,5051.0,,283.3333333333333,,,,,
27,21.533333333333335,2019-06-06 06:24:51.533333,5168,770.8333333333334,758.3333333333333,5082.0,5142,5194,216.66666666666669,250.0,5236.0,,283.3333333333333,,,,,
28,22.291666666666668,2019-06-06 06:24:52.291667,5350,758.3333333333333,766.6666666666667,5264.0,5323,5359,150.0,245.83333333333331,5418.0,,283.3333333333333,,,,,
29,23.058333333333334,2019-06-06 06:24:53.058333,5534,766.6666666666667,775.0,5448.0,5507,5561,225.0,245.83333333333331,5603.0,,287.5,,,,,
30,23.833333333333332,2019-06-06 06:24:53.833333,5720,775.0,783.3333333333334,5635.0,5694,5747,220.83333333333331,245.83333333333331,5789.0,,287.5,,,,,
31,24.616666666666667,2019-06-06 06:24:54.616667,5908,783.3333333333334,787.5,5822.0,5881,5935,225.0,245.83333333333331,5976.0,,283.3333333333333,,,,,
32,25.404166666666665,2019-06-06 06:24:55.404167,6097,787.5,795.8333333333333,6010.0,6070,6124,225.0,250.0,6164.0,,279.1666666666667,,,,,
33,26.2,2019-06-06 06:24:56.200000,6288,795.8333333333333,795.8333333333333,6201.0,6261,6297,150.0,250.0,6356.0,,283.3333333333333,,,,,
34,26.995833333333334,2019-06-06 06:24:56.995833,6479,795.8333333333333,787.5,,6452,6488,150.0,,6546.0,,279.1666666666667,,,,,
35,27.783333333333335,2019-06-06 06:24:57.783333,6668,787.5,783.3333333333334,6581.0,6641,6677,150.0,250.0,6735.0,,279.1666666666667,,,,,
36,28.566666666666666,2019-06-06 06:24:58.566667,6856,783.3333333333334,775.0,6814.0,6830,6864,141.66666666666666,66.66666666666667,6923.0,,279.1666666666667,,,,,
37,29.341666666666665,2019-06-06 06:24:59.341667,7042,775.0,779.1666666666666,6955.0,7015,7051,150.0,250.0,7109.0,,279.1666666666667,,,,,
38,30.120833333333334,2019-06-06 06:25:00.120833,7229,779.1666666666666,770.8333333333334,7143.0,7203,7237,141.66666666666666,250.0,7295.0,,275.0,,,,,
39,30.891666666666666,2019-06-06 06:25:00.891667,7414,770.8333333333334,758.3333333333333,7328.0,7388,7422,141.66666666666666,250.0,7481.0,,279.1666666666667,,,,,
40,31.65,2019-06-06 06:25:01.650000,7596,758.3333333333333,754.1666666666666,7510.0,7569,7605,150.0,245.83333333333331,7664.0,,283.3333333333333,,,,,
41,32.40416666666667,2019-06-06 06:25:02.404167,7777,754.1666666666666,750.0,7691.0,7750,7785,145.83333333333334,245.83333333333331,7845.0,,283.3333333333333,,,,,
42,33.15416666666667,2019-06-06 06:25:03.154167,7957,750.0,745.8333333333334,7871.0,7930,7966,150.0,245.83333333333331,8025.0,8079.0,283.3333333333333,508.3333333333333,620.8333333333334,716.8765842437854,683.3155001184714,225.0
43,33.9,2019-06-06 06:25:03.900000,8136,745.8333333333334,762.5,8051.0,8110,8144,141.66666666666666,245.83333333333331,8204.0,,283.3333333333333,,,,,
44,34.6625,2019-06-06 06:25:04.662500,8319,762.5,762.5,8262.0,8292,8346,225.0,125.0,8387.0,,283.3333333333333,,,,,
45,35.425,2019-06-06 06:25:05.425000,8502,762.5,770.8333333333334,8416.0,8475,8511,150.0,245.83333333333331,8571.0,8629.0,287.5,529.1666666666666,641.6666666666667,734.8345290361309,702.3650020825688,241.66666666666666
46,36.19583333333333,2019-06-06 06:25:06.195833,8687,770.8333333333334,779.1666666666666,8601.0,8660,8696,150.0,245.83333333333331,8756.0,,287.5,,,,,
47,36.975,2019-06-06 06:25:06.975000,8874,779.1666666666666,779.1666666666666,8787.0,8847,8901,225.0,250.0,8942.0,,283.3333333333333,,,,,
48,37.75416666666667,2019-06-06 06:25:07.754167,9061,779.1666666666666,779.1666666666666,8975.0,9034,9088,225.0,245.83333333333331,9129.0,,283.3333333333333,,,,,
49,38.53333333333333,2019-06-06 06:25:08.533333,9248,779.1666666666666,754.1666666666666,9163.0,9222,9256,141.66666666666666,245.83333333333331,9314.0,,275.0,,,,,
50,39.2875,2019-06-06 06:25:09.287500,9429,754.1666666666666,775.0,9343.0,9402,9438,150.0,245.83333333333331,9497.0,,283.3333333333333,,,,,
51,40.0625,2019-06-06 06:25:10.062500,9615,775.0,775.0,9530.0,9589,9642,220.83333333333331,245.83333333333331,9684.0,,287.5,,,,,
52,40.8375,2019-06-06 06:25:10.837500,9801,775.0,766.6666666666667,9754.0,9774,9810,150.0,83.33333333333333,9869.0,,283.3333333333333,,,,,
53,41.604166666666664,2019-06-06 06:25:11.604167,9985,766.6666666666667,766.6666666666667,9899.0,9958,9994,150.0,245.83333333333331,10053.0,,283.3333333333333,,,,,
54,42.37083333333333,2019-06-06 06:25:12.370833,10169,766.6666666666667,766.6666666666667,10125.0,10143,10177,141.66666666666666,75.0,10236.0,,279.1666666666667,,,,,
55,43.1375,2019-06-06 06:25:13.137500,10353,766.6666666666667,770.8333333333334,10267.0,10326,10362,150.0,245.83333333333331,10420.0,,279.1666666666667,,,,,
56,43.90833333333333,2019-06-06 06:25:13.908333,10538,770.8333333333334,754.1666666666666,10451.0,10511,10547,150.0,250.0,10604.0,,275.0,,,,,
57,44.6625,2019-06-06 06:25:14.662500,10719,754.1666666666666,775.0,10633.0,10692,10728,150.0,245.83333333333331,10787.0,,283.3333333333333,,,,,
58,45.4375,2019-06-06 06:25:15.437500,10905,775.0,775.0,10818.0,10878,10914,150.0,250.0,10972.0,,279.1666666666667,,,,,
