beat_index,t_s,t_dt,r_index,RR_prev_ms,RR_next_ms,P_onset_idx,QRS_onset_idx,QRS_offset_idx,QRS_ms,PR_ms,T_peak_idx,T_end_idx,RT_peak_ms,RT_end_ms,QT_ms,QTc_Bazett_ms,QTc_Fridericia_ms,Tpeak_Tend_ms
0,0.6958333333333333,2019-06-06 06:24:30.695833,167,,775.0,124.0,141,193,216.66666666666669,70.83333333333333,203.0,,150.0,,,,,
1,1.4708333333333334,2019-06-06 06:24:31.470833,353,775.0,766.6666666666667,305.0,327,379,216.66666666666669,91.66666666666666,421.0,,283.3333333333333,,,,,
2,2.2375,2019-06-06 06:24:32.237500,537,766.6666666666667,783.3333333333334,492.0,510,563,220.83333333333331,75.0,606.0,,287.5,,,,,
3,3.0208333333333335,2019-06-06 06:24:33.020833,725,783.3333333333334,787.5,678.0,698,751,220.83333333333331,83.33333333333333,761.0,,150.0,,,,,
4,3.808333333333333,2019-06-06 06:24:33.808333,914,787.5,787.5,866.0,887,940,220.83333333333331,87.5,950.0,,150.0,,,,,
5,4.595833333333333,2019-06-06 06:24:34.595833,1103,787.5,787.5,1057.0,1076,1129,220.83333333333331,79.16666666666666,1172.0,,287.5,,,,,
6,5.383333333333334,2019-06-06 06:24:35.383333,1292,787.5,783.3333333333334,1245.0,1265,1318,220.83333333333331,83.33333333333333,1328.0,,150.0,,,,,
7,6.166666666666667,2019-06-06 06:24:36.166667,1480,783.3333333333334,783.3333333333334,1434.0,1453,1506,220.83333333333331,79.16666666666666,1550.0,,291.6666666666667,,,,,
8,6.95,2019-06-06 06:24:36.950000,1668,783.3333333333334,779.1666666666666,1621.0,1641,1694,220.83333333333331,83.33333333333333,1738.0,,291.6666666666667,,,,,
9,7.729166666666667,2019-06-06 06:24:37.729167,1855,779.1666666666666,775.0,1807.0,1828,1881,220.83333333333331,87.5,1891.0,,150.0,,,,,
10,8.504166666666666,2019-06-06 06:24:38.504167,2041,775.0,775.0,1995.0,2014,2067,220.83333333333331,79.16666666666666,2077.0,,150.0,,,,,
11,9.279166666666667,2019-06-06 06:24:39.279167,2227,775.0,766.6666666666667,2180.0,2200,2253,220.83333333333331,83.33333333333333,2296.0,,287.5,,,,,
12,10.045833333333333,2019-06-06 06:24:40.045833,2411,766.6666666666667,758.3333333333333,2364.0,2384,2437,220.83333333333331,83.33333333333333,2447.0,,150.0,,,,,
13,10.804166666666667,2019-06-06 06:24:40.804167,2593,758.3333333333333,758.3333333333333,2545.0,2566,2619,220.83333333333331,87.5,2662.0,,287.5,,,,,
14,11.5625,2019-06-06 06:24:41.562500,2775,758.3333333333333,762.5,2729.0,2748,2801,220.83333333333331,79.16666666666666,2811.0,,150.0,,,,,
15,12.325,2019-06-06 06:24:42.325000,2958,762.5,770.8333333333334,2910.0,2931,2984,220.83333333333331,87.5,2994.0,,150.0,,,,,
16,13.095833333333333,2019-06-06 06:24:43.095833,3143,770.8333333333334,770.8333333333334,3095.0,3116,3169,220.83333333333331,87.5,3180.0,,154.16666666666669,,,,,
17,13.866666666666667,2019-06-06 06:24:43.866667,3328,770.8333333333334,770.8333333333334,3281.0,3321,3354,137.5,166.66666666666666,3364.0,,150.0,,,,,
18,14.6375,2019-06-06 06:24:44.637500,3513,770.8333333333334,762.5,3466.0,3486,3539,220.83333333333331,83.33333333333333,3581.0,,283.3333333333333,,,,,
19,15.4,2019-06-06 06:24:45.400000,3696,762.5,775.0,3648.0,3669,3722,220.83333333333331,87.5,3732.0,,150.0,,,,,
20,16.175,2019-06-06 06:24:46.175000,3882,775.0,779.1666666666666,3834.0,3855,3908,220.83333333333331,87.5,3951.0,,287.5,,,,,
21,16.954166666666666,2019-06-06 06:24:46.954167,4069,779.1666666666666,725.0,4022.0,4042,4095,220.83333333333331,83.33333333333333,4105.0,,150.0,,,,,
22,17.679166666666667,2019-06-06 06:24:47.679167,4243,725.0,766.6666666666667,4195.0,4236,4270,141.66666666666666,170.83333333333334,4312.0,,287.5,,,,,
23,18.445833333333333,2019-06-06 06:24:48.445833,4427,766.6666666666667,775.0,4381.0,4400,4453,220.83333333333331,79.16666666666666,4495.0,4562.0,283.3333333333333,562.5,675.0,770.9043249722171,737.5105644457135,279.1666666666667
24,19.220833333333335,2019-06-06 06:24:49.220833,4613,775.0,779.1666666666666,4566.0,4587,4640,220.83333333333331,87.5,4681.0,,283.3333333333333,,,,,
25,20.0,2019-06-06 06:24:50.000000,4800,779.1666666666666,779.1666666666666,4753.0,4773,4826,220.83333333333331,83.33333333333333,4836.0,,150.0,,,,,
26,20.779166666666665,2019-06-06 06:24:50.779167,4987,779.1666666666666,770.8333333333334,4939.0,4960,5014,225.0,87.5,5023.0,,150.0,,,,,
27,21.55,2019-06-06 06:24:51.550000,5172,770.8333333333334,758.3333333333333,5123.0,5165,5199,141.66666666666666,175.0,5208.0,,150.0,,,,,
28,22.308333333333334,2019-06-06 06:24:52.308333,5354,758.3333333333333,766.6666666666667,5307.0,5327,5380,220.83333333333331,83.33333333333333,5390.0,,150.0,,,,,
29,23.075,2019-06-06 06:24:53.075000,5538,766.6666666666667,770.8333333333334,5489.0,5511,5564,220.83333333333331,91.66666666666666,5608.0,,291.6666666666667,,,,,
30,23.845833333333335,2019-06-06 06:24:53.845833,5723,770.8333333333334,787.5,5677.0,5696,5749,220.83333333333331,79.16666666666666,5759.0,,150.0,,,,,
31,24.633333333333333,2019-06-06 06:24:54.633333,5912,787.5,787.5,5863.0,5885,5939,225.0,91.66666666666666,5981.0,,287.5,,,,,
32,25.420833333333334,2019-06-06 06:24:55.420833,6101,787.5,795.8333333333333,6051.0,6074,6127,220.83333333333331,95.83333333333334,6170.0,,287.5,,,,,
33,26.216666666666665,2019-06-06 06:24:56.216667,6292,795.8333333333333,795.8333333333333,6244.0,6265,6318,220.83333333333331,87.5,6362.0,,291.6666666666667,,,,,
34,27.0125,2019-06-06 06:24:57.012500,6483,795.8333333333333,787.5,6436.0,6456,6509,220.83333333333331,83.33333333333333,6519.0,,150.0,,,,,
35,27.8,2019-06-06 06:24:57.800000,6672,787.5,783.3333333333334,6624.0,6645,6698,220.83333333333331,87.5,6741.0,,287.5,,,,,
36,28.583333333333332,2019-06-06 06:24:58.583333,6860,783.3333333333334,775.0,6812.0,6833,6887,225.0,87.5,6896.0,,150.0,,,,,
37,29.358333333333334,2019-06-06 06:24:59.358333,7046,775.0,775.0,6997.0,7019,7072,220.83333333333331,91.66666666666666,7116.0,,291.6666666666667,,,,,
38,30.133333333333333,2019-06-06 06:25:00.133333,7232,775.0,775.0,7185.0,7206,7258,216.66666666666669,87.5,7268.0,,150.0,,,,,
39,30.908333333333335,2019-06-06 06:25:00.908333,7418,775.0,758.3333333333333,7368.0,7391,7444,220.83333333333331,95.83333333333334,7454.0,,150.0,,,,,
40,31.666666666666668,2019-06-06 06:25:01.666667,7600,758.3333333333333,754.1666666666666,7553.0,7594,7626,133.33333333333334,170.83333333333334,7636.0,,150.0,,,,,
41,32.420833333333334,2019-06-06 06:25:02.420833,7781,754.1666666666666,750.0,7734.0,7755,7807,216.66666666666669,87.5,7849.0,,283.3333333333333,,,,,
42,33.170833333333334,2019-06-06 06:25:03.170833,7961,750.0,741.6666666666667,7912.0,7934,7987,220.83333333333331,91.66666666666666,7997.0,,150.0,,,,,
43,33.9125,2019-06-06 06:25:03.912500,8139,741.6666666666667,766.6666666666667,8096.0,8112,8165,220.83333333333331,66.66666666666667,8207.0,,283.3333333333333,,,,,
44,34.67916666666667,2019-06-06 06:25:04.679167,8323,766.6666666666667,762.5,8276.0,8316,8349,137.5,166.66666666666666,8359.0,,150.0,,,,,
45,35.44166666666667,2019-06-06 06:25:05.441667,8506,762.5,770.8333333333334,8458.0,8480,8532,216.66666666666669,91.66666666666666,8577.0,,295.8333333333333,,,,,
46,36.2125,2019-06-06 06:25:06.212500,8691,770.8333333333334,779.1666666666666,8643.0,8664,8717,220.83333333333331,87.5,8727.0,,150.0,,,,,
47,36.99166666666667,2019-06-06 06:25:06.991667,8878,779.1666666666666,779.1666666666666,8828.0,8851,8904,220.83333333333331,95.83333333333334,8947.0,,287.5,,,,,
